0.01,39.74,41.36,95.45
0.02,22.21,23.18,61.04
0.03,15.73,15.98,40.38
0.04,11.65,11.86,29.81
0.05,9.74,9.47,23.35
0.06,8,7.98,18.99
0.07,6.69,6.68,15.88
0.08,5.69,5.77,13.55
0.09,5.06,5.04,11.79
0.1,4.66,4.58,10.31
0.11,4.14,4.14,9.11
0.12,3.62,3.81,8.11
0.13,3.38,3.45,7.17
0.14,3.06,3.09,6.49
0.15,2.81,2.91,5.91
0.16,2.6,2.64,5.33
0.17,2.49,2.48,4.78
0.18,2.34,2.29,4.45
0.19,2.14,2.19,4.08
0.2,2.03,2.09,3.65
0.21,1.84,2.01,3.43
0.22,1.75,1.89,3.1
0.23,1.65,1.8,2.81
0.24,1.54,1.68,2.55
0.25,1.44,1.5,2.27
0.26,1.38,1.44,2.04
0.27,1.3,1.36,1.83
0.28,1.26,1.29,1.68
0.29,1.23,1.26,1.6
0.3,1.18,1.23,1.48
